"Date","Team","Opponent","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","Def2ptRebounds","Def2ptReboundPct","Def3ptRebounds","Def3ptReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","Off2ptRebounds","Off2ptReboundPct","Off3ptRebounds","Off3ptReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct"
"2013-12-15","GSW","PHX","42:21",6,6,0,0,4,0.14285714285714285,2,0.2,0.15789473684210525,0,0,0,0,0,0,0,0,0.14285714285714285,0.1,0.18181818181818182,0.25,0,0,0,0,0,0
"2013-12-13","GSW","HOU","39:08",2,2,0,0,0,0,2,0.13333333333333333,0.05714285714285714,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0
"2013-12-11","GSW","DAL","43:56",4,4,0,0,3,0.10344827586206896,1,0.08333333333333333,0.0975609756097561,0,0,0,0,0,0,0,0,0.125,0.18181818181818182,0,0.09090909090909091,0,0,0,0,0,0
"2013-12-09","GSW","CHA","45:40",6,5,0,0,5,0.1111111111111111,0,0,0.09803921568627451,1,0,0,1,0.043478260869565216,0,0,0.02127659574468085,0.25,0.15384615384615385,0,0,0,0,0,0.125,0,0
"2013-12-07","GSW","MEM","45:21",6,5,0,0,5,0.11904761904761904,0,0,0.10416666666666667,1,0,0,1,0.030303030303030304,0,0,0.024390243902439025,0,0.18181818181818182,0.16666666666666666,0,0,0.09090909090909091,0,0,0,0
"2013-12-06","GSW","HOU","32:28",1,1,0,0,0,0,1,0.08333333333333333,0.034482758620689655,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0
"2013-12-03","GSW","TOR","43:25",3,3,0,0,3,0.13636363636363635,0,0,0.08823529411764706,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
"2013-12-01","GSW","SAC","40:10",2,2,0,0,0,0,2,0.25,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0
"2013-11-29","GSW","OKC","44:43",11,9,0,0,7,0.20588235294117646,2,0.2,0.20454545454545456,2,0,0,2,0.0625,0,0,0.044444444444444446,0.16666666666666666,0.25,0.2,0.125,0.5,0.08333333333333333,0.07692307692307693,0,0,0
"2013-11-27","GSW","DAL","42:24",4,4,0,0,3,0.08333333333333333,1,0.09090909090909091,0.0851063829787234,0,0,0,0,0,0,0,0,0.1,0.125,0.05555555555555555,0.14285714285714285,0,0,0,0,0,0
"2013-11-26","GSW","NOP","42:05",8,7,0,0,6,0.2,1,0.125,0.18421052631578946,1,0,0,1,0.03333333333333333,0,0,0.02631578947368421,0.2,0.1111111111111111,0.25,0.16666666666666666,0,0.09090909090909091,0,0,0,0
"2013-11-23","GSW","POR","37:10",3,3,0,0,3,0.10344827586206896,0,0,0.08108108108108109,0,0,0,0,0,0,0,0,0.3333333333333333,0,0.08333333333333333,0,0,0,0,0,0,0
