,date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,cum_shot,game_time
323,2010-01-02 00:00:00,False,POR,4,1900-01-01 00:00:17,False,2,23,4.0,47.71666666666667
514,2010-01-29 00:00:00,True,CHA,1,1900-01-01 00:11:10,True,2,19,1.0,0.8333333333333339
515,2010-01-29 00:00:00,True,CHA,1,1900-01-01 00:09:11,False,2,12,1.0,2.8166666666666664
516,2010-01-29 00:00:00,True,CHA,1,1900-01-01 00:08:13,True,3,27,2.0,3.783333333333333
517,2010-01-29 00:00:00,True,CHA,1,1900-01-01 00:04:49,False,3,26,2.0,7.183333333333334
518,2010-01-29 00:00:00,True,CHA,2,1900-01-01 00:09:09,True,3,27,3.0,14.85
519,2010-01-29 00:00:00,True,CHA,2,1900-01-01 00:06:57,False,2,18,3.0,17.05
520,2010-01-29 00:00:00,True,CHA,2,1900-01-01 00:06:01,True,2,8,4.0,17.983333333333334
521,2010-01-29 00:00:00,True,CHA,3,1900-01-01 00:09:32,False,2,4,4.0,26.46666666666667
522,2010-01-29 00:00:00,True,CHA,3,1900-01-01 00:05:54,False,2,15,4.0,30.1
523,2010-01-29 00:00:00,True,CHA,3,1900-01-01 00:04:47,False,2,12,4.0,31.21666666666667
524,2010-01-29 00:00:00,True,CHA,3,1900-01-01 00:00:40,False,3,27,4.0,35.333333333333336
525,2010-01-29 00:00:00,True,CHA,4,1900-01-01 00:05:13,True,2,3,5.0,42.78333333333333
526,2010-01-29 00:00:00,True,CHA,4,1900-01-01 00:04:29,True,2,2,6.0,43.516666666666666
527,2010-01-29 00:00:00,True,CHA,4,1900-01-01 00:01:58,True,2,1,7.0,46.03333333333333
528,2010-01-29 00:00:00,True,CHA,4,1900-01-01 00:01:58,True,2,16,8.0,46.03333333333333
539,2010-02-02 00:00:00,False,HOU,1,1900-01-01 00:10:50,False,2,0,0.0,1.166666666666666
540,2010-02-02 00:00:00,False,HOU,1,1900-01-01 00:08:19,True,2,18,1.0,3.683333333333332
541,2010-02-02 00:00:00,False,HOU,1,1900-01-01 00:07:56,False,2,0,1.0,4.0666666666666655
542,2010-02-02 00:00:00,False,HOU,1,1900-01-01 00:05:01,False,2,0,1.0,6.983333333333333
543,2010-02-02 00:00:00,False,HOU,1,1900-01-01 00:03:54,False,3,25,1.0,8.1
544,2010-02-02 00:00:00,False,HOU,3,1900-01-01 00:07:33,True,2,15,2.0,28.45
545,2010-02-02 00:00:00,False,HOU,3,1900-01-01 00:05:28,False,2,20,2.0,30.53333333333333
546,2010-02-02 00:00:00,False,HOU,3,1900-01-01 00:04:36,False,2,22,2.0,31.4
547,2010-02-02 00:00:00,False,HOU,3,1900-01-01 00:00:35,True,2,17,3.0,35.416666666666664
548,2010-02-02 00:00:00,False,HOU,4,1900-01-01 00:11:18,False,2,21,3.0,36.7
549,2010-02-02 00:00:00,False,HOU,4,1900-01-01 00:09:20,False,2,0,3.0,38.666666666666664
550,2010-02-02 00:00:00,False,HOU,4,1900-01-01 00:05:41,False,3,26,3.0,42.31666666666666
551,2010-02-02 00:00:00,False,HOU,4,1900-01-01 00:04:24,True,2,0,4.0,43.6
552,2010-02-02 00:00:00,False,HOU,4,1900-01-01 00:03:08,True,3,24,5.0,44.86666666666667
553,2010-02-02 00:00:00,False,HOU,4,1900-01-01 00:02:39,False,2,20,5.0,45.35
554,2010-02-02 00:00:00,False,HOU,4,1900-01-01 00:01:22,False,3,23,5.0,46.63333333333333
555,2010-02-02 00:00:00,False,HOU,4,1900-01-01 00:00:46,False,2,15,5.0,47.233333333333334
556,2010-02-02 00:00:00,False,HOU,4,1900-01-01 00:00:46,True,3,25,6.0,47.233333333333334
557,2010-02-03 00:00:00,False,DAL,1,1900-01-01 00:08:25,False,2,19,0.0,3.583333333333332
558,2010-02-03 00:00:00,False,DAL,1,1900-01-01 00:06:58,False,2,19,0.0,5.033333333333333
559,2010-02-03 00:00:00,False,DAL,1,1900-01-01 00:02:00,False,3,26,0.0,10.0
560,2010-02-03 00:00:00,False,DAL,2,1900-01-01 00:02:14,True,2,18,1.0,21.766666666666666
561,2010-02-03 00:00:00,False,DAL,3,1900-01-01 00:11:51,False,3,24,1.0,24.15
562,2010-02-03 00:00:00,False,DAL,3,1900-01-01 00:11:51,False,2,8,1.0,24.15
577,2010-02-08 00:00:00,True,DAL,1,1900-01-01 00:11:05,False,3,25,0.0,0.9166666666666661
578,2010-02-08 00:00:00,True,DAL,1,1900-01-01 00:08:16,True,2,21,1.0,3.7333333333333325
579,2010-02-08 00:00:00,True,DAL,1,1900-01-01 00:06:15,True,2,14,2.0,5.75
580,2010-02-08 00:00:00,True,DAL,1,1900-01-01 00:03:24,False,2,5,2.0,8.6
581,2010-02-08 00:00:00,True,DAL,1,1900-01-01 00:03:16,False,2,17,2.0,8.733333333333334
582,2010-02-08 00:00:00,True,DAL,1,1900-01-01 00:01:12,True,2,19,3.0,10.8
583,2010-02-08 00:00:00,True,DAL,2,1900-01-01 00:10:34,True,3,29,4.0,13.433333333333334
584,2010-02-08 00:00:00,True,DAL,2,1900-01-01 00:09:01,False,3,28,4.0,14.983333333333333
585,2010-02-08 00:00:00,True,DAL,2,1900-01-01 00:07:00,True,2,15,5.0,17.0
586,2010-02-08 00:00:00,True,DAL,2,1900-01-01 00:04:48,True,2,21,6.0,19.2
587,2010-02-08 00:00:00,True,DAL,2,1900-01-01 00:00:45,False,3,23,6.0,23.25
588,2010-02-08 00:00:00,True,DAL,3,1900-01-01 00:07:57,True,2,12,7.0,28.049999999999997
589,2010-02-08 00:00:00,True,DAL,3,1900-01-01 00:06:49,False,3,27,7.0,29.183333333333334
590,2010-02-08 00:00:00,True,DAL,4,1900-01-01 00:11:20,False,2,17,7.0,36.666666666666664
591,2010-02-08 00:00:00,True,DAL,4,1900-01-01 00:09:58,True,2,1,8.0,38.03333333333333
592,2010-02-08 00:00:00,True,DAL,4,1900-01-01 00:08:55,False,2,18,8.0,39.083333333333336
593,2010-02-08 00:00:00,True,DAL,4,1900-01-01 00:07:39,True,2,21,9.0,40.35
594,2010-02-08 00:00:00,True,DAL,4,1900-01-01 00:02:52,False,2,16,9.0,45.13333333333333
595,2010-02-08 00:00:00,True,DAL,4,1900-01-01 00:01:07,False,2,4,9.0,46.88333333333333
596,2010-02-08 00:00:00,True,DAL,4,1900-01-01 00:00:46,False,2,3,9.0,47.233333333333334
597,2010-02-10 00:00:00,True,LAC,1,1900-01-01 00:10:18,True,3,23,1.0,1.6999999999999993
598,2010-02-10 00:00:00,True,LAC,1,1900-01-01 00:08:20,True,3,27,2.0,3.666666666666666
599,2010-02-10 00:00:00,True,LAC,1,1900-01-01 00:05:42,True,3,26,3.0,6.3
600,2010-02-10 00:00:00,True,LAC,1,1900-01-01 00:05:19,False,3,29,3.0,6.683333333333334
601,2010-02-10 00:00:00,True,LAC,1,1900-01-01 00:01:17,True,3,23,4.0,10.716666666666667
602,2010-02-10 00:00:00,True,LAC,1,1900-01-01 00:00:39,True,3,28,5.0,11.35
603,2010-02-10 00:00:00,True,LAC,1,1900-01-01 00:00:39,False,3,30,5.0,11.35
604,2010-02-10 00:00:00,True,LAC,2,1900-01-01 00:09:51,True,2,2,6.0,14.15
605,2010-02-10 00:00:00,True,LAC,2,1900-01-01 00:08:58,False,3,29,6.0,15.033333333333333
606,2010-02-10 00:00:00,True,LAC,2,1900-01-01 00:07:33,False,2,2,6.0,16.45
607,2010-02-10 00:00:00,True,LAC,2,1900-01-01 00:05:03,False,2,3,6.0,18.95
608,2010-02-10 00:00:00,True,LAC,2,1900-01-01 00:04:39,False,2,22,6.0,19.35
609,2010-02-10 00:00:00,True,LAC,2,1900-01-01 00:03:25,False,2,19,6.0,20.583333333333332
610,2010-02-10 00:00:00,True,LAC,3,1900-01-01 00:11:16,True,2,18,7.0,24.733333333333334
611,2010-02-10 00:00:00,True,LAC,3,1900-01-01 00:10:46,True,2,1,8.0,25.233333333333334
612,2010-02-10 00:00:00,True,LAC,3,1900-01-01 00:08:53,True,3,27,9.0,27.116666666666667
613,2010-02-10 00:00:00,True,LAC,3,1900-01-01 00:02:24,True,2,17,10.0,33.6
614,2010-02-10 00:00:00,True,LAC,3,1900-01-01 00:00:33,True,3,27,11.0,35.45
615,2010-02-10 00:00:00,True,LAC,4,1900-01-01 00:10:25,False,3,26,11.0,37.583333333333336
616,2010-02-10 00:00:00,True,LAC,4,1900-01-01 00:07:13,False,2,18,11.0,40.78333333333333
617,2010-02-10 00:00:00,True,LAC,4,1900-01-01 00:05:04,False,2,20,11.0,42.93333333333334
618,2010-02-10 00:00:00,True,LAC,4,1900-01-01 00:00:47,False,2,5,11.0,47.21666666666667
682,2010-02-23 00:00:00,True,PHI,1,1900-01-01 00:10:55,False,3,24,0.0,1.083333333333334
683,2010-02-23 00:00:00,True,PHI,1,1900-01-01 00:08:49,False,2,2,0.0,3.1833333333333336
684,2010-02-23 00:00:00,True,PHI,1,1900-01-01 00:08:35,True,2,1,1.0,3.416666666666666
685,2010-02-23 00:00:00,True,PHI,1,1900-01-01 00:06:00,False,3,26,1.0,6.0
686,2010-02-23 00:00:00,True,PHI,1,1900-01-01 00:03:29,False,2,19,1.0,8.516666666666666
687,2010-02-23 00:00:00,True,PHI,2,1900-01-01 00:04:45,True,2,7,2.0,19.25
