"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtsMade","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2013-04-07","GSW","UTA","45:09",84,22,4,10,0.4,4,9,0.4444444444444444,0.4444444444444444,2,2,6,12,0,0.25,0.25,1,0.47368421052631576,0.4438052631578947,0.5263157894736842,0.55,0,1,0.1,0,0,26.595744680851066
"2013-04-09","GSW","MIN","39:12",83,24,7,12,0.5833333333333334,2,9,0.2222222222222222,0.2222222222222222,4,4,10,0,6,0.2857142857142857,0.2857142857142857,0,0.42857142857142855,0.5107809523809523,0.47619047619047616,0.5,0,0,0,0,0,28.26086956521739
"2013-04-11","GSW","OKC","34:56",76,22,6,12,0.5,3,6,0.5,0.5,1,0,12,6,3,0,0,0.6666666666666666,0.3333333333333333,0.47341388888888886,0.5833333333333334,0.6111111111111112,0,3,0.25,0,0,25.88235294117647
"2011-12-26","GSW","CHI","37:29",71,21,6,9,0.6666666666666666,1,3,0.3333333333333333,0.3333333333333333,6,0,12,3,0,0,0,1,0.25,0.508525,0.625,0.7,0,0,0,0,0,24.05063291139241
"2010-04-13","GSW","UTA","40:40",85,17,4,11,0.36363636363636365,1,4,0.25,0.25,6,2,6,3,0,0.25,0.25,1,0.26666666666666666,0.49699333333333334,0.36666666666666664,0.4722222222222222,0,0,0,0,0,20.65217391304348
"2011-12-31","GSW","PHI","30:15",59,21,6,7,0.8571428571428571,3,8,0.375,0.375,0,2,10,9,0,0.16666666666666666,0.16666666666666666,1,0.5333333333333333,0.46852,0.7,0.7,0,0,0,0,0,29.411764705882355
"2012-01-02","GSW","PHX","23:21",44,10,2,5,0.4,2,3,0.6666666666666666,0.6666666666666666,0,0,4,6,0,0,0,1,0.375,0.481075,0.625,0.625,0,0,0,0,0,21.73913043478261
"2012-01-04","GSW","SAS","30:21",58,20,4,7,0.5714285714285714,3,4,0.75,0.75,3,2,6,6,3,0.25,0.25,0.6666666666666666,0.36363636363636365,0.4878727272727273,0.7727272727272727,0.7692307692307693,0,0,0,0,0,23.333333333333336
"2011-12-25","GSW","LAC","33:29",63,4,2,8,0.25,0,4,0,0,0,0,4,0,0,0,0,0,0.3333333333333333,0.4802,0.16666666666666666,0.15384615384615385,0,1,0.125,0,0,21.794871794871796
"2010-04-14","GSW","POR","48:00",102,42,9,19,0.47368421052631576,4,6,0.6666666666666666,0.6666666666666666,12,4,14,3,9,0.2222222222222222,0.2222222222222222,0.25,0.24,0.488534,0.6,0.6774193548387096,0,1,0.05263157894736842,0,0,29.729729729729726
"2019-02-02","GSW","LAL","32:51",68,14,3,6,0.5,2,9,0.2222222222222222,0.2222222222222222,2,2,4,3,3,0.3333333333333333,0.3333333333333333,0.5,0.6,0.5104785714285714,0.4,0.4117647058823529,0,0,0,0,0,24
"2012-01-23","GSW","MEM","36:06",74,18,6,11,0.5454545454545454,2,7,0.2857142857142857,0.2857142857142857,0,4,8,6,0,0.3333333333333333,0.3333333333333333,1,0.3888888888888889,0.4700611111111111,0.5,0.5,0,1,0.09090909090909091,0,0,28.39506172839506
"2012-01-25","GSW","POR","37:54",71,32,6,11,0.5454545454545454,6,8,0.75,0.75,2,6,6,18,0,0.5,0.5,1,0.42105263157894735,0.5432157894736842,0.7894736842105263,0.7619047619047619,0,1,0.09090909090909091,0,0,26.58227848101266
"2012-01-27","GSW","OKC","27:22",59,15,4,9,0.4444444444444444,2,7,0.2857142857142857,0.2857142857142857,1,4,4,6,0,0.5,0.5,1,0.4375,0.546959375,0.4375,0.4411764705882353,0,1,0.1111111111111111,0,0,30.303030303030308
"2012-01-31","GSW","SAC","26:01",56,3,1,4,0.25,0,3,0,0,1,0,2,0,0,0,0,0,0.42857142857142855,0.48510000000000003,0.14285714285714285,0.1875,0,0,0,1,0.3333333333333333,13.333333333333332
"2012-02-02","GSW","UTA","38:15",73,29,8,9,0.8888888888888888,2,5,0.4,0.4,7,4,12,3,3,0.25,0.25,0.5,0.35714285714285715,0.5104892857142856,0.7857142857142857,0.7631578947368421,0,0,0,0,0,22.22222222222222
"2012-02-04","GSW","SAC","29:02",58,11,1,6,0.16666666666666666,3,8,0.375,0.375,0,0,2,6,3,0,0,0.6666666666666666,0.5714285714285714,0.5069428571428571,0.39285714285714285,0.39285714285714285,0,0,0,0,0,29.230769230769234
"2012-02-07","GSW","OKC","42:56",87,16,6,7,0.8571428571428571,1,2,0.5,0.5,1,8,4,3,0,0.6666666666666666,0.6666666666666666,1,0.2222222222222222,0.45087777777777777,0.8333333333333334,0.8,0,0,0,0,0,13.978494623655916
"2012-02-09","GSW","DEN","35:55",74,36,7,8,0.875,6,9,0.6666666666666666,0.6666666666666666,4,2,12,9,9,0.14285714285714285,0.14285714285714285,0.5,0.5294117647058824,0.5173470588235294,0.9411764705882353,0.8571428571428571,0,0,0,0,0,26.582278481012658
"2012-01-20","GSW","IND","29:04",57,12,3,9,0.3333333333333333,2,6,0.3333333333333333,0.3333333333333333,0,0,6,3,3,0,0,0.5,0.4,0.4675333333333333,0.4,0.4,0,0,0,0,0,29.50819672131147
"2012-02-12","GSW","HOU","34:09",70,14,2,8,0.25,3,6,0.5,0.5,1,2,2,9,0,0.5,0.5,1,0.42857142857142855,0.5178892857142857,0.4642857142857143,0.5,0,1,0.125,0,0,21.05263157894737
"2012-02-13","GSW","PHX","31:53",61,9,2,6,0.3333333333333333,1,4,0.25,0.25,2,2,2,3,0,0.5,0.5,1,0.4,0.47215999999999997,0.35,0.4090909090909091,0,0,0,0,0,17.333333333333332
"2012-02-15","GSW","POR","37:44",71,8,3,8,0.375,0,2,0,0,2,6,0,0,0,1,1,0,0.2,0.53254,0.3,0.36363636363636365,0,0,0,0,0,16.25
"2012-02-17","GSW","OKC","27:56",55,11,1,8,0.125,3,5,0.6,0.6,0,2,0,6,3,1,1,0.6666666666666666,0.38461538461538464,0.47443846153846153,0.4230769230769231,0.4230769230769231,0,1,0.125,0,0,24.999999999999996
"2012-02-18","GSW","MEM","40:14",79,36,7,12,0.5833333333333334,6,9,0.6666666666666666,0.6666666666666666,4,6,8,12,6,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.48833809523809524,0.7619047619047619,0.782608695652174,0,0,0,0,0,27.272727272727273
"2012-02-22","GSW","PHX","10:00",21,9,2,4,0.5,1,3,0.3333333333333333,0.3333333333333333,2,0,4,3,0,0,0,1,0.42857142857142855,0.5301857142857143,0.5,0.5625,0,0,0,0,0,37.5
"2012-02-20","GSW","LAC","33:16",62,11,0,1,0,3,5,0.6,0.6,2,0,0,6,3,0,0,0.6666666666666666,0.8333333333333334,0.5023583333333334,0.75,0.7857142857142857,0,0,0,0,0,13.513513513513514
"2012-02-29","GSW","ATL","00:03",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-10-28","GSW","NOP","34:04",80,23,4,9,0.4444444444444444,4,10,0.4,0.4,3,4,4,9,3,0.5,0.5,0.75,0.5263157894736842,0.516671052631579,0.5263157894736842,0.575,0,0,0,0,0,26.96629213483146
"2012-03-10","GSW","DAL","16:19",34,10,2,3,0.6666666666666666,2,4,0.5,0.5,0,4,0,3,3,1,1,0.5,0.5714285714285714,0.5420071428571428,0.7142857142857143,0.7142857142857143,0,0,0,0,0,29.41176470588235
"2012-03-11","GSW","LAC","09:13",18,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.4940333333333333,0,0,0,0,0,0,0,20
"2012-03-05","GSW","WAS","09:18",19,12,3,4,0.75,2,3,0.6666666666666666,0.6666666666666666,0,2,4,6,0,0.3333333333333333,0.3333333333333333,1,0.42857142857142855,0.5038285714285714,0.8571428571428571,0.8571428571428571,0,0,0,0,0,31.818181818181817
"2012-03-07","GSW","MEM","24:16",48,15,6,9,0.6666666666666666,1,2,0.5,0.5,0,4,8,3,0,0.3333333333333333,0.3333333333333333,1,0.18181818181818182,0.48970454545454545,0.6818181818181818,0.6818181818181818,0,0,0,0,0,24.074074074074073
"2016-10-25","GSW","SAS","34:06",74,26,6,8,0.75,3,10,0.3,0.3,5,4,8,3,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5320972222222222,0.5833333333333334,0.65,0,1,0.125,0,0,28.91566265060241
"2016-10-30","GSW","PHX","34:13",72,28,4,9,0.4444444444444444,5,8,0.625,0.625,5,6,2,12,3,0.75,0.75,0.8,0.47058823529411764,0.4796375,0.6764705882352942,0.7368421052631579,0,2,0.2222222222222222,0,0,24.69135802469136
"2016-11-01","GSW","POR","29:29",66,28,5,11,0.45454545454545453,5,10,0.5,0.5555555555555556,3,8,2,9,6,0.8,0.8,0.6,0.47619047619047616,0.5405175,0.5952380952380952,0.6363636363636364,0,1,0.09090909090909091,0,0,35.61643835616439
"2016-11-03","GSW","OKC","30:03",63,21,4,8,0.5,2,6,0.3333333333333333,0.3333333333333333,7,0,8,6,0,0,0,1,0.42857142857142855,0.517425,0.5,0.6176470588235294,0,2,0.25,0,0,25
"2016-11-04","GSW","LAL","31:06",68,13,5,7,0.7142857142857143,0,10,0,0,3,6,4,0,0,0.6,0.6,0,0.5882352941176471,0.5875294117647059,0.29411764705882354,0.34210526315789475,0,1,0.14285714285714285,1,0.1,26.31578947368421
"2016-11-07","GSW","NOP","35:39",76,46,3,9,0.3333333333333333,13,17,0.7647058823529411,0.8125,1,2,4,30,9,0.3333333333333333,0.5,0.7692307692307693,0.6538461538461539,0.51026,0.8653846153846154,0.8518518518518519,2,0,0,0,0,37.34939759036144
"2016-11-09","GSW","DAL","30:50",59,24,4,4,1,4,8,0.5,0.5,4,4,4,6,6,0.5,0.5,0.5,0.6666666666666666,0.4858541666666667,0.8333333333333334,0.8,0,0,0,0,0,29.032258064516128
"2016-11-10","GSW","DEN","29:56",64,33,3,4,0.75,7,13,0.5384615384615384,0.5384615384615384,6,2,4,12,9,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.7647058823529411,0.5235735294117647,0.7941176470588235,0.868421052631579,0,0,0,0,0,32.3943661971831
"2016-11-13","GSW","PHX","36:47",85,30,4,8,0.5,5,9,0.5555555555555556,0.5555555555555556,7,2,6,12,3,0.25,0.25,0.8,0.5294117647058824,0.5016235294117647,0.6764705882352942,0.75,0,0,0,0,0,24.46808510638298
